SEA port code													AIR port code						
Country	/	port name	/	Display name	/	port code							Country		port name		Display name		port code
Albania	/	Durres	/	Durres, Albania	/	ALDRZ							Austria	/	Vienna International Airport	/	VIE - Vienna International Airport, Austria	/	VIE
Algeria	/	Algiers	/	Algiers, Algeria	/	DZALG							Belgium	/	Brussels Airport	/	BRU - Brussels Airport, Belgium	/	BRU
Algeria	/	Bejaia	/	Bejaia, Algeria	/	DZBSK							Brazil	/	Guarulhos Apt / Sao Paulo	/	GRU - Guarulhos Apt / Sao Paulo, Brazil	/	GRU
Algeria	/	Oran	/	Oran, Algeria	/	DZORN							Brazil	/	Viracopos International Airport	/	VCP - Viracopos International Airport, Brazil	/	VCP
Algeria	/	Skikda	/	Skikda, Algeria	/	AGSKI							Bulgaria	/	Sofia International Airport	/	SOF  - Sofia International Airport, Bulgaria	/	SOF 
Antigua	/	St.John's	/	St.John's, Antigua	/	AGSJO							Burkina Faso	/	Ouagadougou Thomas Sankara International Airport	/	OUA - Ouagadougou Thomas Sankara International Airport, Burkina Faso	/	OUA
Argentina	/	Buenos Aires	/	Buenos Aires, Argentina	/	ARBUE							Cambodia	/	Sihanoukville International Airport	/	KOS - Sihanoukville International Airport, Cambodia	/	KOS
Argentina	/	San Francisco	/	San Francisco, Argentina	/	ARSFO							Cameroon	/	Douala International Airport	/	DLA - Douala International Airport, Cameroon	/	DLA
Argentina	/	San Lorenzo	/	San Lorenzo, Argentina	/	ARSLO							Canada	/	Calgary International Airport	/	YYC - Calgary International Airport, Canada	/	YYC
Australia	/	Adelaide	/	Adelaide, Australia	/	AUADL							Canada	/	Montréal-Pierre Elliott Trudeau International Airport	/	YUL - Montréal-Pierre Elliott Trudeau International Airport, Canada	/	YUL
Australia	/	Bedourie	/	Bedourie, Australia	/	AUBEU							Canada	/	Toronto Pearson International Airport	/	YYZ - Toronto Pearson International Airport, Canada	/	YYZ
Australia	/	Brisbane	/	Brisbane, Australia	/	AUBNE							Canada	/	Vancouver International Airport	/	YVR - Vancouver International Airport, Canada	/	YVR
Australia	/	Fremantle	/	Fremantle, Australia	/	AUFRE							Chile	/	Arturo Merino Benitez International Airport	/	SCL - Arturo Merino Benitez International Airport, Chile	/	SCL
Australia	/	Melbourne	/	Melbourne, Australia	/	AUMEL							China	/	Beijing Capital International Airport 	/	PEK - Beijing Capital International Airport , China	/	PEK
Australia	/	Perth	/	Perth, Australia	/	AUPER							China	/	Beijing Daxing International Airport	/	PKX - Beijing Daxing International Airport, China	/	PKX
Australia	/	Roebourne	/	Roebourne, Australia	/	AURBU							China	/	Changsha Huanghua International Airport	/	CSX - Changsha Huanghua International Airport, China	/	CSX
Australia	/	Sydney	/	Sydney, Australia	/	AUSYD							China	/	Chengdu Shuangliu International Airport	/	CTU - Chengdu Shuangliu International Airport, China	/	CTU
Austria	/	Wien	/	Wien, Austria	/	ATVIE							China	/	Chongqing Jiangbei International Airport	/	CKG - Chongqing Jiangbei International Airport, China	/	CKG
Bahamas	/	Nassau	/	Nassau, Bahamas	/	BSNAS							China	/	Dalian Zhoushuizi International Airport	/	DLC - Dalian Zhoushuizi International Airport, China	/	DLC
Bahrain	/	Bahrain Port	/	Bahrain Port, Bahrain	/	BHBAH							China	/	Guangzhou Baiyun International Airport	/	CAN - Guangzhou Baiyun International Airport, China	/	CAN
Bahrain	/	Khalifa Bin Salman Port	/	Khalifa Bin Salman Port, Bahrain	/	BHMIN							China	/	Guiyang Longdongbao International Airport	/	KWE - Guiyang Longdongbao International Airport, China	/	KWE
Bangladesh	/	Chattogram/Chittagong	/	Chattogram/Chittagong, Bangladesh	/	BDCGP							China	/	Hangzhou International Airport	/	HGH - Hangzhou International Airport, China	/	HGH
Bangladesh	/	Dhaka	/	Dhaka, Bangladesh	/	BDDAC							China	/	Harbin Taiping International Airport	/	HRB - Harbin Taiping International Airport, China	/	HRB
Bangladesh	/	Mongla	/	Mongla, Bangladesh	/	BDMGL							China	/	Hohhot Baita International Airport	/	HET - Hohhot Baita International Airport, China	/	HET
Barbados	/	Bridgetown	/	Bridgetown, Barbados	/	BBBGI							China	/	Hong Kong International Airport	/	HKG - Hong Kong International Airport, China	/	HKG
