China Pricing - Enquiry Record	Issue Date	Reference Number	Product	"Status
(New/Quoted )"	CN Pricing Admin	Sales Country	 Sales office	Sales PIC	Assigned CN Offices	CN office Grouping	Cargo Type	Volume (CBM)	Quantity	"Quantity
(Unit)"	"Quantity
(TEU)"	Commodity	"Haz, Special Equipment 
(if relevant)"	POL	POD	POD Country	CORE / NON CORE (formula locked, please just copy and past to the next record)	"Category : 
1. Freight
2. Freight + Origin Charge/EXW
3. Freight + Origin Charge/EXW+Dest. Charges
4. Origin Charges/EXW
5. LCL"	Cargo Ready Date	Additional Requirement	1st Quotation Sent	"1st Offer:
Ocean Frg"	"1st Offer:
Air Frg/KG"	"Lastest Offer:
Ocean Frg"	"Lastest Offer:
Air Frg/KG"	"Booking Confirmed 
(Yes/Rejected/Pending)"	Remark	Rejected Reason	"Actual Reason 
(to be discussed)"
1 Jan 2025	2 Jan 2025	CN2501002-S	SEA	Quoted	Niki Guan	BELGIUM	ZIEGLER BELGIUM	BART VANHAM	NINGBO	SHA & NGB	FCL		1	40'HQ	2	TBA		Ningbo	Antwerp	BELGIUM	CORE	Freight	TBA		2 Jan 2025	US4200				Rejected		Rate Checking - For indication only	
1 Jan 2025	2 Jan 2025	CN2501004-S	SEA	Quoted	Niki Guan	BELGIUM	ZIEGLER BELGIUM	BART VANHAM	XIAMEN	-	FCL		1	20'GP	1	TBA		Xiamen	Antwerp	BELGIUM	CORE	Freight	20 Jan 2025		2 Jan 2025	USD2200				Rejected		Rate Checking - For indication only	
1 Jan 2025	2 Jan 2025	CN2501005-S	SEA	Quoted	Niki Guan	BELGIUM	ZIEGLER BELGIUM	BART VANHAM	NINGBO	SHA & NGB	FCL		1	40'HQ	2	TBA		Ningbo	Antwerp	BELGIUM	CORE	Freight	Ready		2 Jan 2025	US4200				Rejected		Rate Checking - For indication only	
1 Jan 2025	2 Jan 2025	CN2501006-A	AIR	Quoted	Yuki Ying	AGENTS	CELERITY	NAEEM UDDIN	TIANJIN	-	AIR	2.805	3,022.00	KG		7″MP Packer 105MPa Full H2S 400℉ 7″29-35Lb/ft		PEK	ISB	PAKISTAN	NON CORE	Freight + Origin Charges/EXW	17 Jan 2025		2 Jan 2025		USD2.54 + EXW USD468			Rejected		Rate Checking - No feedback from customer	
1 Jan 2025	2 Jan 2025	CN2501007-S	SEA	Quoted	Niki Guan	BELGIUM	ZIEGLER BELGIUM	BART VANHAM	QINGDAO	-	FCL		1	40'HQ	2	TBA		Ningbo	Antwerp	BELGIUM	CORE	Freight	Ready		2 Jan 2025	 US4200		USD3630		Yes			
2 Jan 2025	2 Jan 2025	CN2501008-S	SEA	Quoted	Niki Guan	FRANCE	ZIEGLER FRANCE	AMINE OUAABI	SHENZHEN	SZX & XMN	FCL		1	40'HQ	2	TBA		Nansha	Le havre	FRANCE	CORE	Freight	Ready		2 Jan 2025	 USD4450		USD3200		Yes			
2 Jan 2025	2 Jan 2025	CN2501009-S	SEA	Quoted	Niki Guan	NETHERLANDS	ZIEGLER NETHERLANDS	PASCAL VAN DER SPEK	SHANGHAI	SHA & NGB	FCL		1	20'GP	1	TBA		Shanghai	Rotterdam	NETHERLANDS	CORE	Freight	TBA		2 Jan 2025	 USD2150				Yes			
2 Jan 2025	2 Jan 2025	CN2501010-S	SEA	Quoted	Niki Guan	BELGIUM	ZIEGLER BELGIUM	LUC AUDIENS	SHENZHEN	SZX & XMN	FCL		1	40‘HQ	2	TBA		Shenzhen	Antwerp	BELGIUM	CORE	Freight	TBA		2 Jan 2025	 USD4200		USD3800		Yes			
2 Jan 2025	2 Jan 2025	CN2501011-A	AIR	Quoted	Yuki Ying	AGENTS	PT FIDO	DINI YANRIANI	HONG KONG	-	AIR	0.91	456	KG		Printing Wiring Board		HKG	CGK	INDONESIA	NON CORE	Freight	3 Jan 2025		2 Jan 2025		USD2.6			Yes			
2 Jan 2025	3 Jan 2025	CN2501012-A	AIR	Quoted	Yuki Ying	FRANCE	ZIEGLER FRANCE	SANDRINE JUILLIEN	HONG KONG	-	AIR	1.44	120	KG		TBA		CDG	MFM	MALTA	NON CORE	Origin Charges/EXW	TBA		3 Jan 2025		HKG3000			Rejected		Rate Checking - For indication only	
