row_num,reference,cargo_type,quantity,quantity_unit,quantity_teu,issue,suggestion
114,CN2401107-AS,AIR,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
115,CN2401107-AS1,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
133,CN2401125-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
257,CN2401242-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
259,CN2401244-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
340,CN2401322-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
511,CN2401479-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
846,CN2402134-AS,AIR,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
854,CN2402141-S1,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
855,CN2402141-S2,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
856,CN2402141-S3,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
858,CN2402143-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
928,CN2402207-S1,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
929,CN2402208-A,AIR,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1009,CN2402281-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1143,CN2402393-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1264,CN2403112-S1,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1265,CN2403112-S2,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1266,CN2403112-S3,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1383,CN2403212-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1561,CN2403374-AS,AIR,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1562,CN2403374-AS1,FCL,TBA,TBA,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1832,CN2403614-R1,LCL,800/1000,KG,,"Quantity列含非数字值: ""800/1000""",非法数量值，建议置为 NULL
1881,CN2404044-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
1977,CN2404126-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2199,CN2404327-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2200,CN2404328-R,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2315,CN2404432-S,FCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2327,CN2404442-AS,AIR,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2429,CN2404542-R,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2628,CN2405047-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2645,CN2405058-R,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2698,CN2405111-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
2873,CN2405269-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
3073,CN2405558-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
3090,CN2405574-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
3330,CN2406048-A,AIR,1.54.5,KG,,"Quantity列含非数字值: ""1.54.5""",非法数量值，建议置为 NULL
3551,CN2406250-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
3705,CN2406388-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
4221,CN2407293-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
4684,CN2408209-AS3,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
5306,CN2409275-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
5460,CN2409418-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
5726,CN2410175-S,LCL,TBA,KG,,"Quantity列含非数字值: ""TBA""",非法数量值，建议置为 NULL
6372,CN2411225-A,AIR,163.2/263.2,KG,,"Quantity列含非数字值: ""163.2/263.2""",非法数量值，建议置为 NULL
6377,CN2411230-S,FCL,20'GP,1,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
6378,CN2411231-S1,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
6379,CN2411231-S2,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
6380,CN2411231-S3,FCL,20'GP/40'GP/40'HQ,5,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
7427,CN2501059-S,FCL,40HQ,6,,"Quantity列含非数字值: ""40HQ""",非法数量值，建议置为 NULL
