row_num,reference,cargo_type,quantity,quantity_unit,quantity_teu,issue,suggestion
590,CN2401557-S,FCL,1.0,40' Flat Rack,2,"Quantity(Unit)列含无效单位: ""40' Flat Rack""","无效单位""40' Flat Rack""，建议置为 NULL"
591,CN2401558-S,FCL,1.0,40' Flat Rack,2,"Quantity(Unit)列含无效单位: ""40' Flat Rack""","无效单位""40' Flat Rack""，建议置为 NULL"
1074,CN2402331-S1,FCL,,20'GP40'GP,,"Quantity(Unit)列含无效单位: ""20'GP40'GP""","无效单位""20'GP40'GP""，建议置为 NULL"
1176,CN2403030-S,FCL,1.0,20',1,"Quantity(Unit)列含无效单位: ""20'""","无效单位""20'""，建议置为 NULL"
1314,CN2403152-S,FCL,6.0,20' ISO Tank Container,6,"Quantity(Unit)列含无效单位: ""20' ISO Tank Container""","无效单位""20' ISO Tank Container""，建议置为 NULL"
1562,CN2403374-AS1,FCL,TBA,TBA,,"Quantity(Unit)列含无效单位: ""TBA""",单位为TBA，无效，建议置为 NULL
1704,CN2403493-S,LCL,2.4,557.4,,"Quantity(Unit)列含无效单位: ""557.4""","Unit列含数字""557.4""，建议置为 NULL"
1739,CN2403527-S,LCL,5.8,3815.4,,"Quantity(Unit)列含无效单位: ""3815.4""","Unit列含数字""3815.4""，建议置为 NULL"
1743,CN2403531-S,LCL,1.2,291.4,,"Quantity(Unit)列含无效单位: ""291.4""","Unit列含数字""291.4""，建议置为 NULL"
1790,CN2403576-S,FCL,4.0,40'HQ Reefer,8,"Quantity(Unit)列含无效单位: ""40'HQ Reefer""","无效单位""40'HQ Reefer""，建议置为 NULL"
1975,CN2404124-S,FCL,1.0,20;GP,1,"Quantity(Unit)列含无效单位: ""20;GP""","无效单位""20;GP""，建议置为 NULL"
2072,CN2404214-S,FCL,1.0,20'HQ S.O.C.,1,"Quantity(Unit)列含无效单位: ""20'HQ S.O.C.""","无效单位""20'HQ S.O.C.""，建议置为 NULL"
2547,CN2404653-S,FCL,1.0,40'FR OOG,2,"Quantity(Unit)列含无效单位: ""40'FR OOG""","无效单位""40'FR OOG""，建议置为 NULL"
2695,CN2405108-A,AIR,61.0,TBA,,"Quantity(Unit)列含无效单位: ""TBA""",单位为TBA，无效，建议置为 NULL
3675,CN2406359-S,FCL,1.0,20'FR OOG,1,"Quantity(Unit)列含无效单位: ""20'FR OOG""","无效单位""20'FR OOG""，建议置为 NULL"
