row,reference_number,field,message
3,CN2401006-A,sales_office,未找到办公室: ZIEGLER HONG KONG
4,CN2401007-A,sales_office,未找到办公室: ZIEGLER HONG KONG
5,CN2401008-A,sales_office,未找到办公室: ZIEGLER COLNBROOK
6,CN2401009-A,sales_office,未找到办公室: ZIEGLER FRANCE
7,CN2401010-A,sales_office,未找到办公室: ZIEGLER NETHERLANDS
8,CN2401011-A,sales_office,未找到办公室: ZIEGLER FRANCE
9,CN2401012-A,sales_office,未找到办公室: ZIEGLER FRANCE
10,CN2401013-A,sales_office,未找到办公室: ZIEGLER FRANCE
12,CN2401015-A,sales_office,未找到办公室: ZIEGLER BELGIUM
13,CN2401016-A,sales_office,未找到办公室: ZIEGLER FRANCE
14,CN2401017-S,sales_office,未找到办公室: ZIEGLER HONG KONG
15,CN2401017-S1,sales_office,未找到办公室: ZIEGLER BELGIUM
16,CN2401018-A,sales_office,未找到办公室: ZIEGLER NETHERLANDS
17,CN2401018-S,sales_office,未找到办公室: ZIEGLER BELGIUM
18,CN2401019-A,sales_office,未找到办公室: ZIEGLER FRANCE
19,CN2401020-A,sales_office,未找到办公室: ZIEGLER BELGIUM
20,CN2401021-A,sales_office,未找到办公室: ZIEGLER WARRINGTON
21,CN2401022-A,sales_office,未找到办公室: ZIEGLER FRANCE
22,CN2401023-A,sales_office,未找到办公室: ZIEGLER NETHERLANDS
