行号,Reference Number,错误原因
291,CN2501257-S,"Office is ""TBA"" (skipped)"
357,CN2501319-S,"Office is ""TBA"" (skipped)"
894,CN2502288-S,"Office is ""TBA"" (skipped)"
1738,CN2503582-S,"Office is ""TBA"" (skipped)"
2460,CN2504599-S,"Office is ""TBA"" (skipped)"
3390,CN2506233-S,"Office is ""TBA"" (skipped)"
3690,CN2506520-S,"Office is ""TBA"" (skipped)"
3738,CN2506567-S1,"Office is ""TBA"" (skipped)"
3739,CN2506567-S2,"Office is ""TBA"" (skipped)"
4138,CN2507296-A,"Office is ""-"" (skipped)"
6023,CN2510114-S,"Office ""(Pls update Sales Country+ PIC column)"" not found"
