row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
23,CN2401024-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
24,CN2401025-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
41,CN2401040-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
42,CN2401040-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
43,CN2401040-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
44,CN2401040-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
60,CN2401056-RS,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
61,CN2401056-RS1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
62,CN2401057-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
64,CN2401059-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
69,CN2401063-S,20'GP/40'HQ,4.0,5,"20GP,40HQ","[('20GP', 3), ('40HQ', 1)]",exact
84,CN2401078-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
103,CN2401097-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
153,CN2401145-S,20'GP/40'HQ,11.0,21,"20GP,40HQ","[('20GP', 1), ('40HQ', 10)]",exact
222,CN2401210-S4,40'GP/40'HQ,4.0,8,"40GP,40HQ","[('40GP', 2), ('40HQ', 2)]",equal
303,CN2401285-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
