row_num,reference,cargo_ready_date,handling
7,CN2401010-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
8,CN2401011-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
9,CN2401012-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
10,CN2401013-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
11,CN2401014-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
12,CN2401015-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
13,CN2401016-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
14,CN2401017-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
16,CN2401018-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
17,CN2401018-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
18,CN2401019-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
19,CN2401020-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
21,CN2401022-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
26,CN2401027-AS,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
27,CN2401027-AS1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
28,CN2401028-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
30,CN2401030-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
31,CN2401031-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
32,CN2401031-S1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
33,CN2401032-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
34,CN2401033-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
35,CN2401034-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
36,CN2401035-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
37,CN2401036-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
38,CN2401037-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
39,CN2401038-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
40,CN2401039-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
41,CN2401040-S1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
42,CN2401040-S2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
43,CN2401040-S3,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
44,CN2401040-S4,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
45,CN2401041-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
46,CN2401042-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
47,CN2401043-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
48,CN2401044-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
49,CN2401045-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
51,CN2401047-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
52,CN2401048-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
53,CN2401049-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
54,CN2401050-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
55,CN2401051-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
62,CN2401057-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
64,CN2401059-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
65,CN2401060-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
69,CN2401063-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
71,CN2401065-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
72,CN2401066-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
73,CN2401067-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
74,CN2401068-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
75,CN2401069-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
76,CN2401070-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
77,CN2401071-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
82,CN2401076-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
86,CN2401080-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
87,CN2401081-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
88,CN2401082-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
89,CN2401083-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
90,CN2401084-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
