CSV原始值,出现次数,对应Reference Number（前5个）,建议操作
EHU,21,CN2503426-A; CN2504302-A; CN2505580-A; CN2505620-A; CN2506044-A,请提供正确的港口代码（如CNSHA）以便系统匹配
CMP,20,CN2505521-S; CN2505523-S; CN2505534-S; CN2505617-S; CN2506007-A,请提供正确的港口代码（如CNSHA）以便系统匹配
China Main Port,4,CN2503203-S; CN2503331-S; CN2503361-S; CN2503663-A,请提供正确的港口代码（如CNSHA）以便系统匹配
FOC,4,CN2508028-A; CN2512013-A; CN2601075-A1; CN2601176-A,请提供正确的港口代码（如CNSHA）以便系统匹配
France,3,CN2501487-S; CN2505579-A; CN2508010-S,请提供正确的港口代码（如CNSHA）以便系统匹配
STR,3,CN2511021-A; CN2511023-A; CN2601550-A,请提供正确的港口代码（如CNSHA）以便系统匹配
TFU,3,CN2511572-A; CN2601140-A; CN2601234-A,请提供正确的港口代码（如CNSHA）以便系统匹配
XIY,2,CN2601539-A; CN2601730-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Shanxi,1,CN2501083-A,请提供正确的港口代码（如CNSHA）以便系统匹配
PXK,1,CN2502438-A,请提供正确的港口代码（如CNSHA）以便系统匹配
MAA,1,CN2505234-A,请提供正确的港口代码（如CNSHA）以便系统匹配
DLN,1,CN2506171-A,请提供正确的港口代码（如CNSHA）以便系统匹配
EUH,1,CN2506640-A,请提供正确的港口代码（如CNSHA）以便系统匹配
WNZ,1,CN2507002-A,请提供正确的港口代码（如CNSHA）以便系统匹配
"WS11 7FQ, UK",1,CN2507575-A,请提供正确的港口代码（如CNSHA）以便系统匹配
ZHEJIANG,1,CN2508168-A,请提供正确的港口代码（如CNSHA）以便系统匹配
YNT,1,CN2508310-A1,请提供正确的港口代码（如CNSHA）以便系统匹配
GDL,1,CN2510446-A,请提供正确的港口代码（如CNSHA）以便系统匹配
TBS,1,CN2511214-A,请提供正确的港口代码（如CNSHA）以便系统匹配
PEI,1,CN2602137-A1,请提供正确的港口代码（如CNSHA）以便系统匹配
