CSV原始POD值,运输类型,出现次数,对应Reference Number（前5个）,建议操作：请提供正确的Air Port代码
STR,Air Port,86,CN2501310-A; CN2501351-A; CN2501374-A; CN2502013-AS; CN2502214-A,请填写正确的Air Port代码（如 IATA 3字母代码）
JFK,Air Port,13,CN2506189-A; CN2506428-A; CN2506428-A1; CN2506609-A; CN2507319-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MAA,Air Port,10,CN2504225-A; CN2504354-A; CN2504452-A; CN2505061-A; CN2505189-A,请填写正确的Air Port代码（如 IATA 3字母代码）
BUD,Air Port,9,CN2504393-A; CN2507159-A; CN2507172-A; CN2507173-A; CN2507193-A,请填写正确的Air Port代码（如 IATA 3字母代码）
ALG,Air Port,7,CN2502151-A; CN2502487-A; CN2503529-A; CN2505278-A; CN2505455-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SGN,Air Port,7,CN2502173-A; CN2502354-A; CN2502369-A; CN2504213-A; CN2504522-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Felixstowe,Air Port,6,CN2501199-AS; CN2501199-AS3; CN2501199-AS4; CN2501199-AS5; CN2505128-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
ABJ,Air Port,6,CN2503025-A; CN2503148-A; CN2504472-A; CN2508092-AS; CN2509380-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MEL,Air Port,6,CN2507191-AS; CN2507453-A; CN2510342-A; CN2511540-A; CN2512191-A,请填写正确的Air Port代码（如 IATA 3字母代码）
AMM,Air Port,6,CN2512150-A; CN2512252-A; CN2512315-A; CN2512319-A; CN2512466-A,请填写正确的Air Port代码（如 IATA 3字母代码）
IAH,Air Port,5,CN2506115-AS; CN2506555-AS; CN2508209-A; CN2508563-AS; CN2512689-A,请填写正确的Air Port代码（如 IATA 3字母代码）
ORD,Air Port,4,CN2505471-A; CN2506479-A; CN2510584-A; CN2511683-A,请填写正确的Air Port代码（如 IATA 3字母代码）
LPB,Air Port,4,CN2509470-A; CN2510325-A; CN2512223-A; CN2602181-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MIA,Air Port,4,CN2509505-A; CN2509587-A; CN2511252-A; CN2511403-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Huizhou City,Air Port,4,CN2510069-A; CN2510502-A; CN2510503-A; CN2511668-A,请填写正确的Air Port代码（如 IATA 3字母代码）
100027 Beijing,Air Port,4,CN2511045-A; CN2511045-A1; CN2511045-A2; CN2511615-A,请填写正确的Air Port代码（如 IATA 3字母代码）
LAX,Air Port,3,CN2501083-A; CN2505253-A1; CN2511484-A,请填写正确的Air Port代码（如 IATA 3字母代码）
JAX,Air Port,3,CN2501167-A; CN2501237-A; CN2505477-A,请填写正确的Air Port代码（如 IATA 3字母代码）
HEL,Air Port,3,CN2502059-A; CN2502059-A1; CN2505423-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SYD,Air Port,3,CN2502393-A; CN2504278-A; CN2510181-AS,请填写正确的Air Port代码（如 IATA 3字母代码）
215151 SUZHOU,Air Port,3,CN2505171-A; CN2510268-A; CN2512508-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Toronto,Air Port,3,CN2505535-AS1; CN2512197-AS1; CN2512708-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
Houston,Air Port,3,CN2506115-AS1; CN2506555-AS1; CN2508563-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
BAH,Air Port,3,CN2506355-A; CN2509088-A; CN2509176-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Dongguan City,Air Port,3,CN2507442-A; CN2507442-A1; CN2512385-A,请填写正确的Air Port代码（如 IATA 3字母代码）
LAS,Air Port,3,CN2511108-A; CN2512336-A; CN2512604-A,请填写正确的Air Port代码（如 IATA 3字母代码）
519085 Zhuhai,Air Port,2,CN2501316-A1; CN2501316-A2,请填写正确的Air Port代码（如 IATA 3字母代码）
523873 Dongguan,Air Port,2,CN2501437-A; CN2507575-A,请填写正确的Air Port代码（如 IATA 3字母代码）
200233 Shanghai,Air Port,2,CN2502133-A; CN2512289-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Maryland,Air Port,2,CN2502169-AS; CN2502169-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
Hangzhou city,Air Port,2,CN2502467-A; CN2509439-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Chengdu 611731,Air Port,2,CN2503204-A; CN2503370-A,请填写正确的Air Port代码（如 IATA 3字母代码）
266510 QINGDAO,Air Port,2,CN2503403-A; CN2507464-A,请填写正确的Air Port代码（如 IATA 3字母代码）
XiaoShan . HangZhou,Air Port,2,CN2503470-AS; CN2503470-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
Wenzhou 325103,Air Port,2,CN2503602-A; CN2507667-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Lille,Air Port,2,CN2503626-AS1; CN2505247-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
Suqian city,Air Port,2,CN2504073-AS; CN2504073-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
SFO,Air Port,2,CN2504076-A; CN2505016-A,请填写正确的Air Port代码（如 IATA 3字母代码）
VVI,Air Port,2,CN2504078-A; CN2509470-A,请填写正确的Air Port代码（如 IATA 3字母代码）
