CSV原始值,出现次数,对应Reference Number（前5个）,建议操作
Fos,234,CN2501023-S; CN2501057-S; CN2501059-S; CN2501075-S; CN2501088-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Felixstowe,178,CN2501036-S; CN2501051-S; CN2501052-S; CN2501091-S; CN2501099-S,请提供正确的港口代码（如GBFXT）以便系统匹配
STR,86,CN2501310-A; CN2501351-A; CN2501374-A; CN2502013-AS; CN2502214-A,请提供正确的港口代码（如GBFXT）以便系统匹配
Toronto,58,CN2502189-S; CN2502288-S; CN2503063-S; CN2503449-S; CN2503599-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Piraeus,20,CN2506298-S; CN2508218-S; CN2509331-S; CN2510105-S; CN2510110-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Xingang,16,CN2504070-S; CN2504571-S; CN2505210-S; CN2507229-S; CN2509332-S,请提供正确的港口代码（如GBFXT）以便系统匹配
New York,14,CN2503211-S1; CN2503211-S2; CN2505185-S; CN2505444-S; CN2506629-S,请提供正确的港口代码（如GBFXT）以便系统匹配
PIRAEUS,14,CN2509626-S; CN2511006-S; CN2511048-S; CN2511051-S; CN2511060-S,请提供正确的港口代码（如GBFXT）以便系统匹配
LIEGE,10,CN2502327-R; CN2502405-R; CN2503129-S; CN2503322-R; CN2503452-R,请提供正确的港口代码（如GBFXT）以便系统匹配
NEW YORK,9,CN2504217-S; CN2505415-S; CN2506266-S; CN2507562-S; CN2508049-S,请提供正确的港口代码（如GBFXT）以便系统匹配
FOS,8,CN2501030-S; CN2501287-S; CN2501326-S; CN2502004-S; CN2503451-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Liege,7,CN2501317-R; CN2501433-R; CN2502444-R; CN2503117-R; CN2503276-R,请提供正确的港口代码（如GBFXT）以便系统匹配
New york,7,CN2503275-S; CN2506301-S; CN2506302-S; CN2509198-S; CN2509218-S,请提供正确的港口代码（如GBFXT）以便系统匹配
TORONTO,7,CN2503303-S; CN2509602-S; CN2509676-S; CN2510601-S; CN2511331-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Houston,7,CN2503555-S; CN2505291-S; CN2506115-AS1; CN2506555-AS1; CN2508563-AS1,请提供正确的港口代码（如GBFXT）以便系统匹配
Surabaya,7,CN2504221-S; CN2507165-S; CN2508239-S1; CN2509219-S; CN2512624-S,请提供正确的港口代码（如GBFXT）以便系统匹配
MEL,7,CN2507191-AS; CN2507453-A; CN2510236-S; CN2510342-A; CN2511540-A,请提供正确的港口代码（如GBFXT）以便系统匹配
ABJ,6,CN2503025-A; CN2503148-A; CN2504472-A; CN2508092-AS; CN2509380-A,请提供正确的港口代码（如GBFXT）以便系统匹配
FELIXSTOWE,6,CN2504178-S; CN2506259-S; CN2509410-S; CN2510539-S; CN2510683-AS1,请提供正确的港口代码（如GBFXT）以便系统匹配
Miami,6,CN2506523-S; CN2508506-S; CN2511545-S; CN2601285-S; CN2601499-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Chittagong,6,CN2507163-S; CN2507535-S; CN2511195-S; CN2512280-S; CN2601146-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Tokyo,6,CN2510010-S1; CN2510600-S; CN2511707-S; CN2512275-S; CN2601557-S,请提供正确的港口代码（如GBFXT）以便系统匹配
Chicago,5,CN2501110-S; CN2503150-S; CN2508084-S1; CN2511292-S; CN2512015-S,请提供正确的港口代码（如GBFXT）以便系统匹配
IAH,5,CN2506115-AS; CN2506555-AS; CN2508209-A; CN2508563-AS; CN2512689-A,请提供正确的港口代码（如GBFXT）以便系统匹配
Germany,5,CN2508386-S; CN2508392-S; CN2509181-S; CN2512638-R; CN2601123-S,请提供正确的港口代码（如GBFXT）以便系统匹配
