CSV原始箱型值,映射目标code,数据库是否存在,出现次数,对应Reference Number（前5个）,建议操作
40'NOR,40NOR,❌ 缺失,4,CN2503100-S; CN2503131-S; CN2510009-S; CN2510626-S,请确认是否需要在系统中新增此箱型
40',无法识别,❌ 缺失,2,CN2503273-S; CN2503274-S,请确认正确箱型代码
40' OOG,无法识别,❌ 缺失,1,CN2503171-S,请确认正确箱型代码
"40' FR (OW , OH)",无法识别,❌ 缺失,1,CN2503670-S,请确认正确箱型代码
40NOR,40NOR,❌ 缺失,1,CN2505556-S,请确认是否需要在系统中新增此箱型
20ft SOC,无法识别,❌ 缺失,1,CN2506203-S,请确认正确箱型代码
BULK CONTAINER,BULK,❌ 缺失,1,CN2507116-S,请确认是否需要在系统中新增此箱型
20'ISO,无法识别,❌ 缺失,1,CN2511267-S,请确认正确箱型代码
Breakbulk,BBK,❌ 缺失,1,CN2511273-S,请确认是否需要在系统中新增此箱型
20FR OOG,无法识别,❌ 缺失,1,CN2511480-S,请确认正确箱型代码
1 Breakbulk,BBK,❌ 缺失,1,CN2512048-S,请确认是否需要在系统中新增此箱型
40'FR OG,无法识别,❌ 缺失,1,CN2601580-S,请确认正确箱型代码
BBK shipement,BBK,❌ 缺失,1,CN2601590-S,请确认是否需要在系统中新增此箱型
