CSV原始值,出现次数,对应Reference Number（前5个）,建议操作
Xingang,268,CN2501023-S; CN2501028-R; CN2501084-S; CN2501099-S; CN2501120-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiangmen,21,CN2502362-S; CN2502375-S; CN2502376-S; CN2504347-S; CN2504535-S,请提供正确的港口代码（如CNSHA）以便系统匹配
EHU,21,CN2503426-A; CN2504302-A; CN2505580-A; CN2505620-A; CN2506044-A,请提供正确的港口代码（如CNSHA）以便系统匹配
CMP,20,CN2505521-S; CN2505523-S; CN2505534-S; CN2505617-S; CN2506007-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Tianjin,18,CN2501354-S; CN2502037-R; CN2502058-S; CN2502100-S; CN2502212-S7,请提供正确的港口代码（如CNSHA）以便系统匹配
Fuzhou,17,CN2501225-S; CN2501236-S; CN2504209-S; CN2504291-S; CN2505343-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Lianyungang,11,CN2505018-S; CN2506288-S; CN2507606-S; CN2508196-S; CN2508197-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiujiang,7,CN2502005-S; CN2504195-S; CN2505322-S; CN2505333-S; CN2507109-S,请提供正确的港口代码（如CNSHA）以便系统匹配
China main port,6,CN2503001-S; CN2503050-S; CN2503224-S; CN2504453-S; CN2505132-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Germany,6,CN2503456-S; CN2505493-R; CN2506254-S; CN2507423-S; CN2602111-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shunde,5,CN2502026-S; CN2507036-S; CN2507048-S; CN2510166-S; CN2601339-S,请提供正确的港口代码（如CNSHA）以便系统匹配
China Main Port,4,CN2503203-S; CN2503331-S; CN2503361-S; CN2503663-A,请提供正确的港口代码（如CNSHA）以便系统匹配
FOC,4,CN2508028-A; CN2512013-A; CN2601075-A1; CN2601176-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Beijiao,4,CN2508578-S; CN2509365-S; CN2510663-S; CN2511047-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Wuhu,3,CN2501149-R; CN2510086-S; CN2511452-S,请提供正确的港口代码（如CNSHA）以便系统匹配
France,3,CN2501487-S; CN2505579-A; CN2508010-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiangsu,3,CN2503244-R; CN2509684-S; CN2602212-S2,请提供正确的港口代码（如CNSHA）以便系统匹配
Nanchang,3,CN2504518-S; CN2507027-S; CN2507597-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Guangdong,3,CN2505630-S; CN2510054-S; CN2602173-S,请提供正确的港口代码（如CNSHA）以便系统匹配
YTN,3,CN2506538-S; CN2507263-S; CN2507265-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Tianjing,3,CN2507500-AS1; CN2510602-S; CN2601633-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Qingzhou,3,CN2508004-AS1; CN2510006-S; CN2510674-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Zhangjiagang,3,CN2510489-S; CN2511048-S; CN2601702-S,请提供正确的港口代码（如CNSHA）以便系统匹配
STR,3,CN2511021-A; CN2511023-A; CN2601550-A,请提供正确的港口代码（如CNSHA）以便系统匹配
TFU,3,CN2511572-A; CN2601140-A; CN2601234-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Fos,3,CN2512519-S; CN2601236-S; CN2601405-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Taiwan,2,CN2503359-S; CN2510072-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Shunde District, Foshan City",2,CN2504305-S; CN2504307-S,请提供正确的港口代码（如CNSHA）以便系统匹配
FOS,2,CN2504538-S; CN2509216-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Qingdap,2,CN2504584-S; CN2505026-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shijiazhuang,2,CN2506004-AS1; CN2512318-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Heibei,2,CN2507229-S; CN2601324-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Anhui,2,CN2507525-S; CN2509611-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Sichuan,2,CN2507536-S; CN2601277-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Yiwu city 322000,2,CN2508070-S; CN2508550-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Haimen City,2,CN2508089-S; CN2508129-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Yiwu,2,CN2508449-S; CN2509503-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Longgang District,2,CN2509523-S; CN2511094-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Kunshan City, Jiangsu Province",2,CN2509710-S; CN2509711-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Yiwu city,2,CN2511382-S; CN2512596-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Switzerland,2,CN2511456-S; CN2512462-R,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiaxing,2,CN2512230-S; CN2601437-S,请提供正确的港口代码（如CNSHA）以便系统匹配
XIY,2,CN2601539-A; CN2601730-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiangmen city,2,CN2601717-S; CN2602018-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shanxi,1,CN2501083-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Bordeaux,1,CN2501257-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Latvia,1,CN2501328-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Wujiang,1,CN2501430-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Chedunzhen,1,CN2501488-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Lianyuangang,1,CN2502032-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Qinzhou,1,CN2502035-S,请提供正确的港口代码（如CNSHA）以便系统匹配
US,1,CN2502242-S,请提供正确的港口代码（如CNSHA）以便系统匹配
PXK,1,CN2502438-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Zhibo,1,CN2503147-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Zhangzhou city, Fujian province",1,CN2503345-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Fuzhou City,1,CN2503465-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jinan city 250102,1,CN2504244-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiangxi,1,CN2504286-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Jiangyin, Jiangsu, China",1,CN2504417-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"KOWLOON, HONGKONG",1,CN2504581-S,请提供正确的港口代码（如CNSHA）以便系统匹配
jiangsu,1,CN2504582-S,请提供正确的港口代码（如CNSHA）以便系统匹配
xingang,1,CN2504611-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Hengshui City, Hebei",1,CN2505210-S,请提供正确的港口代码（如CNSHA）以便系统匹配
MAA,1,CN2505234-A,请提供正确的港口代码（如CNSHA）以便系统匹配
China main ports,1,CN2505277-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Lanxi,1,CN2505535-AS1,请提供正确的港口代码（如CNSHA）以便系统匹配
"Lai Chi Kok, Kowloon",1,CN2505549-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiaxin City,1,CN2505624-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Hongkong area,1,CN2506142-S,请提供正确的港口代码（如CNSHA）以便系统匹配
DLN,1,CN2506171-A,请提供正确的港口代码（如CNSHA）以便系统匹配
"Changzhou city, Jiangsu",1,CN2506293-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Tokyo,1,CN2506308-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Donguan,1,CN2506322-S,请提供正确的港口代码（如CNSHA）以便系统匹配
JIAXING,1,CN2506411-S,请提供正确的港口代码（如CNSHA）以便系统匹配
KWAI CHUNG,1,CN2506420-S,请提供正确的港口代码（如CNSHA）以便系统匹配
QINGDAO FREE TRADE ZONE,1,CN2506526-S,请提供正确的港口代码（如CNSHA）以便系统匹配
EUH,1,CN2506640-A,请提供正确的港口代码（如CNSHA）以便系统匹配
WNZ,1,CN2507002-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Yichun,1,CN2507003-AS1,请提供正确的港口代码（如CNSHA）以便系统匹配
KOWLOON,1,CN2507004-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Anping Development Area, Fujian Province",1,CN2507093-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Dezhou City,1,CN2507146-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"pudong new district
Shanghai 200125",1,CN2507181-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Yancheng city,1,CN2507356-S,请提供正确的港口代码（如CNSHA）以便系统匹配
jinhua city,1,CN2507368-S1,请提供正确的港口代码（如CNSHA）以便系统匹配
Shishi city,1,CN2507368-S2,请提供正确的港口代码（如CNSHA）以便系统匹配
Suzhou 215126,1,CN2507393-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Zhumadian City,1,CN2507472-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shanwei City,1,CN2507485-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Anhui 
zip code 243102",1,CN2507517-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Yuen Long, HK",1,CN2507519-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"WS11 7FQ, UK",1,CN2507575-A,请提供正确的港口代码（如CNSHA）以便系统匹配
"WWUN TONG,KOWLOON",1,CN2507585-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Wenzhou 325025,1,CN2507605-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Yueqing, 325603",1,CN2507636-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Longhua Shenzhen City,1,CN2507680-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Yuyao City,1,CN2508055-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Dongguan City, 528000",1,CN2508069-S,请提供正确的港口代码（如CNSHA）以便系统匹配
ZHEJIANG,1,CN2508168-A,请提供正确的港口代码（如CNSHA）以便系统匹配
Gaungzhou city,1,CN2508194-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Surabaya,1,CN2508275-S,请提供正确的港口代码（如CNSHA）以便系统匹配
YNT,1,CN2508310-A1,请提供正确的港口代码（如CNSHA）以便系统匹配
Xinagang,1,CN2508472-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Guzhen Town, Zhongshan City 528421",1,CN2508479-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Huangjiang City,1,CN2508480-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Spain,1,CN2508505-R,请提供正确的港口代码（如CNSHA）以便系统匹配
Yiwu port,1,CN2508519-S,请提供正确的港口代码（如CNSHA）以便系统匹配
HAINING,1,CN2508580-S,请提供正确的港口代码（如CNSHA）以便系统匹配
